"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density","obesity_prevalence"
"BRA","South America","Brazil","2021-12-30",2,8,1681,12247,1,1,1243,5401,2,8,1308,5232,3,27,2455,35959,6687,58839,2893.776,61.57,54.95,59.23,25,31.458333333333332,81.02,25.04,22.1
"BGR","Europe","Bulgaria","2021-12-30",2,8,1038,3522,0,0,133,355,0,0,120,414,2,8,1602,12264,2893,16555,4478.983,50,60.94,57.14,87.5,25.458333333333332,73.15,65.18,25
"BFA","Africa","Burkina Faso","2021-12-30",0,0,108,432,0,0,313,949,0,0,396,1584,4,64,2040,24744,2857,27709,14.793,13.89,29.69,33.93,0,32.45833333333333,89.81,70.151,5.6
"BDI","Africa","Burundi","2021-12-30",0,0,400,1450,0,0,0,0,1,1,24,24,2,8,615,1287,1039,2761,3.101,16.67,26.88,30.71,0,58.45833333333333,27.31,423.062,5.4
"KHM","Asia","Cambodia","2021-12-30",2,8,1439,8351,1,1,792,3324,0,0,549,2085,3,27,1478,12116,4258,25876,177.736,46.3,48.44,55.36,0,390.4583333333333,73.15,90.672,3.9
"CMR","Africa","Cameroon","2021-12-30",0,0,207,471,0,0,0,0,0,0,309,423,3,27,1881,16929,2397,17823,67.991,30.56,34.38,39.29,0,39.45833333333333,71.3,50.885,11.4
"CAN","North America","Canada","2021-12-30",3,27,1691,12791,1,1,958,2878,2,8,1302,5208,3,27,1690,14314,5641,35191,801.541,70.83,65.89,69.94,37.5,22.458333333333332,76.39,4.037,29.4
"CPV","Africa","Cape Verde","2021-12-30",2,8,1310,7016,1,1,768,1470,2,8,994,3766,3,27,1883,19679,4955,31931,626.445,62.96,59.37,66.07,12.5,38.45833333333333,87.96,135.58,11.8
"CAF","Africa","Central African Republic","2021-12-30",0,0,290,752,2,8,680,2006,0,0,335,995,3,27,1219,9481,2524,13234,20.529,24.07,27.4,31.31,0,98.45833333333333,75.93,7.479,7.5
"TCD","Africa","Chad","2021-12-30",1,1,569,2867,0,0,684,2658,0,0,711,2745,4,64,2288,34004,4252,42274,10.701,35.19,44.58,43.81,50,73.45833333333333,88.89,11.833,6.1
"CHL","South America","Chile","2021-12-30",3,27,1910,16640,0,0,1536,12534,2,8,1292,5168,3,27,1527,10179,6265,44521,2034.94,49.54,50.05,57.2,0,36.45833333333333,87.5,24.282,28
"COL","South America","Colombia","2021-12-30",2,8,1275,7707,1,1,1254,6390,0,0,674,2312,4,64,1694,19676,4897,36085,2533.87,62.04,64.58,68.45,37.5,36.45833333333333,90.74,44.223,22.3
"COM","Africa","Comoros","2021-12-30",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,355,2425,355,2425,175.586,NA,NA,NA,NA,81.45833333333333,-Inf,437.352,7.8
"COG","Africa","Congo","2021-12-30",2,8,945,4749,2,8,1325,6053,2,8,532,1582,3,27,1830,16470,4632,28854,64.875,51.85,42.19,48.21,0,47.45833333333333,97.22,15.405,9.6
"CRI","North America","Costa Rica","2021-12-30",1,1,1328,5798,1,1,639,639,0,0,776,2714,3,27,1538,12512,4281,21663,1430.808,45.37,51.04,54.76,25,33.45833333333333,81.48,96.079,25.7
"CIV","Africa","Cote d'Ivoire","2021-12-30",0,0,268,1072,1,1,617,617,0,0,239,923,3,27,2241,29913,3365,32525,26.318,6.48,19.58,22.38,0,43.45833333333333,80.56,76.399,10.3
"HRV","Europe","Croatia","2021-12-30",1,1,911,3341,0,0,228,522,0,0,160,640,2,8,1503,13011,2802,17514,3060.767,40.74,50.52,48.81,62.5,33.45833333333333,96.3,73.726,24.4
"CUB","North America","Cuba","2021-12-30",1,1,1360,8614,0,0,867,3705,0,0,1204,4816,3,27,2032,21508,5463,38643,735.322,26.85,41.67,40.48,50,32.45833333333333,100,110.408,24.6
"CYP","Europe","Cyprus","2021-12-30",3,27,1438,9850,1,1,809,2537,0,0,439,1357,3,27,1606,14506,4292,28250,709.817,58.33,70.83,66.67,100,39.45833333333333,94.44,127.657,21.8
"CZE","Europe","Czechia","2021-12-30",2,8,1073,4007,0,0,418,1426,0,0,492,1626,2,8,1763,16103,3746,23162,3362.471,47.22,60.42,56.55,87.5,36.45833333333333,82.41,137.176,26
"DNK","Europe","Denmark","2021-12-30",2,8,1228,5200,0,0,421,421,0,0,80,80,2,8,1095,5133,2824,10834,560.095,47.22,52.6,60.12,0,28.458333333333332,72.22,136.52,19.7
"DJI","Africa","Djibouti","2021-12-30",1,1,916,3178,0,0,165,1485,0,0,110,440,4,64,1916,23246,3107,28349,188.586,49.07,43.02,49.17,0,55.45833333333333,94.44,41.285,13.5
